Rank,Name,Role,Game Type,Map,Game Rank,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
4,Sage,sentinel,Overall,Bind,,0.94, 13.1  /  14  /  3.6 ,29.6%,7.2%,"1,188",0.0%,"125,237"
5,Neon,duelist,Overall,Bind,,1.02, 14.9  /  14.6  /  3.4 ,28.8%,5.4%,"1,479",0.0%,"94,923"
6,Yoru,duelist,Overall,Bind,,1.01, 15.6  /  15.4  /  3.5 ,26.4%,4.9%,"1,638",0.0%,"86,403"
7,Phoenix,duelist,Overall,Bind,,0.95, 14.8  /  15.6  /  3.7 ,26.3%,6.0%,"1,648",0.0%,"105,590"
8,Fade,initiator,Overall,Bind,,1.02, 16.6  /  16.3  /  4 ,25.2%,4.6%,"1,922",0.0%,"81,154"
9,Killjoy,sentinel,Overall,Bind,,1.02, 16.7  /  16.5  /  3.8 ,24.9%,4.4%,"1,973",0.0%,"76,750"
10,Omen,controller,Overall,Bind,,1.0, 16.6  /  16.5  /  3.9 ,24.3%,4.6%,"1,890",0.0%,"81,186"
11,Skye,initiator,Overall,Bind,,1.04, 17.4  /  16.8  /  4.1 ,24.1%,4.2%,"2,030",0.0%,"74,199"
12,Chamber,sentinel,Overall,Bind,,1.02, 17.1  /  16.8  /  3.7 ,23.7%,4.4%,"2,104",0.0%,"76,741"
13,Viper,controller,Overall,Bind,,1.04, 18.4  /  17.7  /  4.2 ,21.8%,4.0%,"2,650",0.0%,"70,565"
14,Sova,initiator,Overall,Bind,,0.94, 16.3  /  17.4  /  4 ,21.7%,5.3%,"2,170",0.0%,"91,910"
15,KAY/O,initiator,Overall,Bind,,1.0, 17.5  /  17.5  /  4.2 ,21.6%,4.1%,"2,339",0.0%,"70,989"
16,Cypher,sentinel,Overall,Bind,,1.0, 17.7  /  17.6  /  4 ,21.6%,4.0%,"2,281",0.0%,"69,198"
17,Brimstone,controller,Overall,Bind,,0.92, 16.6  /  18.1  /  4.3 ,20.1%,5.0%,"2,275",0.0%,"87,323"
18,Astra,controller,Overall,Bind,,1.08, 21.2  /  19.7  /  4.5 ,18.3%,3.0%,"4,206",0.0%,"52,906"
19,Breach,initiator,Overall,Bind,,0.99, 18.8  /  19  /  4.2 ,18.3%,3.5%,"3,075",0.0%,"61,839"
20,Harbor,controller,Overall,Bind,,1.02, 19.8  /  19.5  /  4.3 ,17.8%,3.1%,"3,776",0.0%,"53,585"
1,Reyna,duelist,Overall,Fracture,,1.14, 14.4  /  12.6  /  3.8 ,45.7%,10.2%,311,0.1%,"432,622"
2,Sage,sentinel,Overall,Fracture,,0.89, 11.4  /  12.8  /  4.9 ,43.8%,9.5%,255,0.1%,"403,879"
3,Raze,duelist,Overall,Fracture,,1.05, 13.5  /  12.9  /  3.8 ,43.6%,7.2%,329,0.1%,"306,437"
4,Jett,duelist,Overall,Fracture,,1.04, 13.5  /  13.1  /  3.4 ,43.1%,8.9%,313,0.1%,"380,415"
5,Killjoy,sentinel,Overall,Fracture,,1.01, 14  /  13.9  /  3.8 ,41.2%,4.4%,361,0.1%,"188,550"
6,Neon,duelist,Overall,Fracture,,1.0, 13.7  /  13.7  /  3.6 ,41.2%,5.4%,354,0.1%,"232,156"
7,Phoenix,duelist,Overall,Fracture,,0.97, 13.5  /  13.8  /  3.7 ,39.6%,6.0%,349,0.1%,"256,238"
8,Fade,initiator,Overall,Fracture,,0.95, 13.6  /  14.3  /  4.8 ,39.4%,4.5%,354,0.1%,"193,056"
9,Viper,controller,Overall,Fracture,,0.99, 14.4  /  14.6  /  4.3 ,38.5%,4.0%,390,0.1%,"169,602"
10,Yoru,duelist,Overall,Fracture,,0.99, 13.8  /  14  /  3.7 ,38.5%,4.6%,367,0.1%,"195,919"
11,Omen,controller,Overall,Fracture,,0.99, 14.2  /  14.4  /  4.3 ,38.3%,4.5%,369,0.1%,"191,288"
12,Skye,initiator,Overall,Fracture,,0.98, 14.6  /  14.9  /  5.2 ,37.3%,3.5%,424,0.1%,"147,323"
13,Breach,initiator,Overall,Fracture,,1.0, 15.3  /  15.3  /  4.9 ,37.0%,3.4%,423,0.1%,"146,646"
14,Chamber,sentinel,Overall,Fracture,,1.05, 15.3  /  14.6  /  3.5 ,37.0%,3.7%,439,0.1%,"158,413"
15,Brimstone,controller,Overall,Fracture,,0.95, 14.4  /  15  /  5.2 ,36.9%,4.7%,392,0.1%,"199,265"
16,Cypher,sentinel,Overall,Fracture,,1.0, 15  /  15  /  4.3 ,36.5%,3.5%,421,0.1%,"147,030"
17,KAY/O,initiator,Overall,Fracture,,0.96, 14.4  /  15.1  /  5.7 ,36.0%,3.6%,413,0.1%,"153,207"
18,Sova,initiator,Overall,Fracture,,0.9, 13.3  /  14.8  /  4.2 ,36.0%,4.7%,377,0.1%,"199,251"
19,Harbor,controller,Overall,Fracture,,0.99, 16.9  /  17.1  /  4.5 ,29.0%,2.0%,683,0.0%,"85,185"
20,Astra,controller,Overall,Fracture,,1.08, 19.1  /  17.7  /  4.7 ,27.1%,1.7%,912,0.0%,"74,471"
1,Reyna,duelist,Overall,Pearl,,1.14, 14.4  /  12.7  /  3.8 ,45.9%,10.2%,310,0.1%,"439,242"
2,Sage,sentinel,Overall,Pearl,,0.89, 11.4  /  12.8  /  5 ,44.0%,9.7%,252,0.1%,"417,185"
3,Raze,duelist,Overall,Pearl,,1.04, 13.4  /  12.9  /  3.8 ,43.2%,6.8%,333,0.1%,"294,240"
4,Jett,duelist,Overall,Pearl,,1.04, 13.5  /  13  /  3.3 ,43.1%,9.1%,310,0.1%,"389,293"
5,Fade,initiator,Overall,Pearl,,0.96, 13.5  /  14  /  4.8 ,40.9%,5.2%,333,0.1%,"221,587"
6,Neon,duelist,Overall,Pearl,,1.0, 13.7  /  13.8  /  3.5 ,40.8%,5.1%,364,0.1%,"218,043"
7,Killjoy,sentinel,Overall,Pearl,,1.0, 14  /  14  /  3.8 ,40.3%,4.1%,376,0.1%,"176,047"
8,Phoenix,duelist,Overall,Pearl,,0.99, 13.6  /  13.8  /  3.8 ,40.2%,6.3%,344,0.1%,"269,187"
9,Viper,controller,Overall,Pearl,,1.0, 14.2  /  14.2  /  4.4 ,39.7%,4.4%,367,0.1%,"189,108"
10,Yoru,duelist,Overall,Pearl,,1.0, 13.9  /  13.9  /  3.7 ,39.2%,4.7%,361,0.1%,"203,578"
11,Omen,controller,Overall,Pearl,,0.99, 14.2  /  14.4  /  4.2 ,38.1%,4.5%,368,0.1%,"192,947"
12,Chamber,sentinel,Overall,Pearl,,1.04, 15  /  14.4  /  3.4 ,37.6%,4.0%,416,0.1%,"170,309"
13,Cypher,sentinel,Overall,Pearl,,0.99, 14.7  /  14.8  /  4.2 ,37.0%,3.6%,406,0.1%,"153,218"
14,Skye,initiator,Overall,Pearl,,0.99, 14.7  /  14.9  /  5.3 ,36.9%,3.4%,431,0.1%,"147,146"
15,Sova,initiator,Overall,Pearl,,0.91, 13.3  /  14.6  /  4.2 ,36.7%,4.9%,366,0.1%,"211,419"
16,KAY/O,initiator,Overall,Pearl,,0.95, 14.3  /  15.1  /  5.5 ,35.9%,3.6%,406,0.1%,"156,687"
17,Brimstone,controller,Overall,Pearl,,0.93, 14.5  /  15.7  /  4.9 ,34.0%,3.9%,455,0.1%,"165,586"
18,Astra,controller,Overall,Pearl,,1.09, 17.9  /  16.4  /  4.6 ,32.0%,2.1%,652,0.1%,"91,773"
19,Harbor,controller,Overall,Pearl,,0.98, 16.3  /  16.6  /  4.5 ,30.8%,2.2%,590,0.0%,"95,175"
20,Breach,initiator,Overall,Pearl,,0.97, 16.4  /  17  /  4.6 ,29.8%,2.3%,640,0.0%,"98,287"
1,Reyna,duelist,Overall,Lotus,,1.14, 14.4  /  12.7  /  3.7 ,45.8%,10.3%,311,0.1%,"474,800"
2,Raze,duelist,Overall,Lotus,,1.05, 13.5  /  12.9  /  3.9 ,44.2%,7.4%,333,0.1%,"341,006"
3,Sage,sentinel,Overall,Lotus,,0.89, 11.6  /  13  /  4.9 ,43.7%,9.4%,261,0.1%,"434,358"
4,Jett,duelist,Overall,Lotus,,1.03, 13.6  /  13.1  /  3.3 ,43.3%,9.1%,314,0.1%,"417,436"
5,Neon,duelist,Overall,Lotus,,0.99, 13.7  /  13.8  /  3.5 ,40.4%,5.2%,368,0.1%,"237,900"
6,Killjoy,sentinel,Overall,Lotus,,1.0, 14  /  14.1  /  3.7 ,40.1%,4.3%,371,0.1%,"198,138"
7,Phoenix,duelist,Overall,Lotus,,0.98, 13.6  /  13.9  /  3.7 ,40.1%,6.3%,350,0.1%,"288,236"
8,Omen,controller,Overall,Lotus,,0.99, 14.2  /  14.3  /  4.3 ,39.4%,5.1%,352,0.1%,"233,647"
9,Fade,initiator,Overall,Lotus,,0.95, 13.7  /  14.3  /  4.8 ,39.3%,4.6%,361,0.1%,"210,217"
10,Yoru,duelist,Overall,Lotus,,0.99, 13.9  /  14  /  3.7 ,38.6%,4.7%,370,0.1%,"215,657"
11,Skye,initiator,Overall,Lotus,,0.98, 14.5  /  14.7  /  5.2 ,37.7%,3.8%,407,0.1%,"174,740"
12,Chamber,sentinel,Overall,Lotus,,1.04, 15.2  /  14.6  /  3.4 ,37.0%,3.8%,442,0.1%,"172,892"
13,Sova,initiator,Overall,Lotus,,0.91, 13.5  /  14.8  /  4.2 ,36.4%,4.9%,378,0.1%,"225,230"
14,KAY/O,initiator,Overall,Lotus,,0.95, 14.3  /  15.1  /  5.8 ,35.9%,3.7%,410,0.1%,"172,063"
15,Viper,controller,Overall,Lotus,,0.99, 15  /  15.2  /  4.2 ,35.7%,3.4%,453,0.1%,"155,274"
16,Cypher,sentinel,Overall,Lotus,,1.0, 15.1  /  15.2  /  4.1 ,35.6%,3.3%,448,0.1%,"151,864"
17,Breach,initiator,Overall,Lotus,,0.99, 15.7  /  15.8  /  4.7 ,34.6%,2.9%,495,0.1%,"135,982"
18,Brimstone,controller,Overall,Lotus,,0.93, 14.7  /  15.9  /  4.9 ,33.6%,3.9%,466,0.1%,"179,011"
19,Harbor,controller,Overall,Lotus,,1.0, 16.5  /  16.5  /  4.3 ,31.2%,2.2%,600,0.0%,"103,412"
20,Astra,controller,Overall,Lotus,,1.08, 18.5  /  17.2  /  4.4 ,29.5%,1.9%,803,0.0%,"87,872"
1,Reyna,duelist,Swiftplay,All,,1.17, 6.2  /  5.3  /  1.6 ,51.3%,12.6%,244,0.1%,"123,778"
2,Phoenix,duelist,Swiftplay,All,,1.05, 5.5  /  5.3  /  1.6 ,51.1%,5.7%,219,0.1%,"56,477"
3,Jett,duelist,Swiftplay,All,,1.09, 5.9  /  5.5  /  1.5 ,50.8%,11.6%,234,0.1%,"114,174"
4,Killjoy,sentinel,Swiftplay,All,,0.97, 4.9  /  5  /  1.5 ,50.7%,4.1%,197,0.2%,"40,092"
5,Raze,duelist,Swiftplay,All,,1.03, 5.6  /  5.4  /  1.7 ,50.6%,9.2%,229,0.1%,"90,214"
6,Astra,controller,Swiftplay,All,,1.08, 5.5  /  5.1  /  2 ,50.3%,1.2%,213,0.1%,"12,157"
7,Brimstone,controller,Swiftplay,All,,0.94, 5  /  5.3  /  2.4 ,50.1%,2.5%,200,0.1%,"24,271"
8,Breach,initiator,Swiftplay,All,,0.97, 5.2  /  5.4  /  2.1 ,49.9%,1.9%,207,0.1%,"18,488"
9,Sage,sentinel,Swiftplay,All,,0.87, 4.5  /  5.2  /  2.3 ,49.8%,9.4%,179,0.1%,"92,492"
